Lachnospiraceae_NK4A136_group,Alloprevotella,Bifidobacterium,Lactobacillus,Bacteroides,Helicobacter,Alistipes,Blautia,Coriobacteriaceae_UCG-002,Ruminiclostridium,Desulfovibrio,Turicibacter,Parasutterella,Faecalibaculum,Prevotellaceae_UCG-001,Marvinbryantia,Anaerotruncus,Intestinimonas,Oscillibacter,Lachnoclostridium,Tyzzerella,Odoribacter,Parabacteroides,Roseburia,Mucispirillum,Rikenellaceae_RC9_gut_group,coprostanoligenes_group,Enterorhabdus,Lachnospiraceae_UCG-001,Rikenella,Lachnospiraceae_UCG-006,Ruminococcaceae_UCG-014,Ruminiclostridium_9,xylanophilum_group,Butyricicoccus,Ruminiclostridium_5,Coprococcus_1,Lachnospiraceae_FCS020_group,Paraprevotella,Ruminococcaceae_UCG-010,Bilophila,Ruminococcus_1,Ruminococcaceae_UCG-009,Clostridium_sensu_stricto_1,mouse_gut_metagenome,Tyzzerella_3,Ruminococcaceae_UCG-004,brachy_group,Streptococcus,Gordonibacter,Acetatifactor,Erysipelatoclostridium,nodatum_group,Anaeroplasma,torques_group,Ruminococcaceae_NK4A214_group,Parvibacter,Ruminococcaceae_UCG-005,Ruminiclostridium_6,Candidatus_Stoquefichus,ventriosum_group,Christensenellaceae_R-7_group,Family_XIII_UCG-001,Ruminococcaceae_UCG-013,Peptococcus,Anaerovorax,Family_XIII_AD3011_group,Treponema_2,Lachnospiraceae_UCG-010,Akkermansia,Pseudomonas,Coprococcus_3,Propionibacterium,Staphylococcus,Anaerofustis,Maribacter,Phascolarctobacterium,Prevotella_9,Prevotellaceae_UCG-003,Candidatus_Soleaferrea,gnavus_group,Gemella,Enterococcus,Succinivibrio,Phaseolus_acutifolius,Ruminobacter,Ruminococcus_2,Lactococcus,Subdoligranulum,Exiguobacterium,Pasteurella,Peptoclostridium,Anaerosporobacter,Erysipelotrichaceae_UCG-003,Proteus,Fusicatenibacter,Acinetobacter,Clostridium_sensu_stricto_6,Lachnospiraceae_NK3A20_group,Acetitomaculum,Romboutsia,Anaerovibrio,Butyricimonas,innocuum_group,Methylobacterium,Ruminococcaceae_UCG-002,Bosea,p-1088-a5_gut_group,Flavobacterium,Leuconostoc,Klebsiella,Anoxybacillus,Paracoccus,Psychrobacter,CPla-4_termite_group,Defluviitaleaceae_UCG-011,label
7.2311,0.4019,0.866,1.3117,1.0779,2.3896,0.6887,1.063,0.6875,0.858,0.5977,0.137,0.4998,0.0058,0.9409,0.7785,0.3225,1.1505,0.7359,0.5896,0.2142,0.4964,0.5194,0.1163,0.0092,0.0138,0.0046,0.3386,0.2775,0.4388,0.3893,0.0749,0.456,0.0161,0.1543,0.0818,0.0599,0.0633,0.2983,0.0587,0.0979,0.0242,0.0772,0.0012,0.0035,0.0023,0.0184,0.0276,0.0,0.0012,0.0276,0.0288,0.0092,0.0783,0.0,0.0069,0.0046,0.0253,0.0,0.0472,0.0035,0.0012,0.0173,0.0081,0.0058,0.0,0.0,0.0046,0.0,0.0035,0.0012,0.0035,0.0,0.0,0.0012,0.0,0.0023,0.0035,0.0,0.0,0.0012,0.0,0.0012,0.0,0.0,0.0,0.0,0.0161,0.0,0.0012,0.0,0.0,0.0023,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0023,0.0,0.0012,0.0,0.0012,0.0,0.0,0.0,0.0,0.0012,0.0035,0.0,0.0,0.0,0.0,0
3.9401,0.2684,0.6122,2.0015,0.703,0.5521,0.5129,0.5912,0.4654,0.5954,0.2544,0.5507,0.5227,0.0042,1.2523,0.5717,0.1244,1.0035,0.3788,0.3382,0.095,0.2907,0.3955,0.0825,0.0112,0.0503,0.0112,0.2404,0.116,0.2306,0.2935,0.028,0.3941,0.0084,0.0881,0.0252,0.0182,0.0224,0.1174,0.0685,0.0182,0.0028,0.0601,0.0335,0.0,0.0,0.007,0.0,0.0028,0.007,0.0098,0.0503,0.0126,0.1971,0.0,0.0112,0.0,0.028,0.0,0.021,0.0112,0.0084,0.0112,0.014,0.0028,0.0,0.0014,0.0377,0.0,0.0154,0.0014,0.0,0.0,0.0014,0.0,0.0,0.014,0.007,0.0126,0.0112,0.0238,0.0,0.0014,0.014,0.0,0.0168,0.0084,0.0014,0.0,0.014,0.0042,0.0126,0.0028,0.0,0.0,0.0,0.0056,0.0084,0.0056,0.0056,0.0,0.0,0.0,0.0,0.0042,0.0,0.0,0.0014,0.0042,0.0042,0.0,0.0,0.0,0.0014,0.0,0.0,0
3.3133,1.7914,1.0134,1.689,0.8189,3.518,0.6364,7.0991,0.3003,2.1923,0.4316,0.8974,0.3156,0.0051,1.6856,0.389,0.2917,1.9398,0.4879,0.9452,0.5562,0.5596,0.7302,0.4351,0.0034,0.0136,0.0102,0.1979,0.7729,0.4061,0.1826,0.8019,0.2491,0.0154,0.1877,0.1962,0.0512,0.0427,0.0955,0.0188,0.0972,0.0444,0.1041,0.087,0.0,0.0017,0.0938,0.0102,0.0,0.0,0.1894,0.0375,0.0068,0.174,0.0,0.0085,0.0256,0.0256,0.0358,0.0,0.1399,0.0017,0.0085,0.0068,0.0154,0.0,0.0017,0.0,0.0068,0.0,0.0,0.0,0.0188,0.0,0.0051,0.0,0.0,0.0,0.0017,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0027,0.4,4.4292,7.2248,2.4153,1.7051,1.2771,0.1516,1.875,0.6231,0.4926,3.8538,0.2793,0.0253,3.1633,0.1474,0.3466,0.24,0.2807,0.9403,0.1179,0.6694,1.2631,1.6673,0.0211,0.0182,0.0126,0.4982,0.2288,0.5038,0.1207,0.5515,0.0786,0.0702,0.1361,0.174,0.08,0.087,0.0646,0.0912,0.0042,0.1642,0.0856,0.4744,0.0056,0.0014,0.0168,0.014,0.014,0.0323,0.0028,0.0225,0.0253,0.1277,0.0,0.0547,0.0239,0.0421,0.1305,0.0056,0.1039,0.0435,0.0112,0.0168,0.0084,0.0042,0.0042,0.0014,0.0042,0.007,0.0,0.0,0.0014,0.0,0.0028,0.0,0.0084,0.0154,0.0042,0.0,0.0014,0.0,0.0014,0.0,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0056,0.0,0.0,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6.7949,0.7737,0.3986,0.4055,1.1047,3.8615,0.6041,0.5723,0.2124,4.9869,0.6689,0.542,0.2082,0.0124,4.0132,0.1434,0.3517,3.696,2.7858,0.8013,0.7944,0.7447,0.644,1.044,0.0193,0.011,0.0124,0.1558,0.0896,0.5613,0.5089,0.6606,0.5944,0.1172,0.6041,0.08,0.2138,0.1324,0.0703,0.0041,0.0014,0.0841,0.2179,0.1531,0.0014,0.2731,0.0055,0.0331,0.0,0.0303,0.1917,0.0014,0.0014,0.0165,0.0,0.0745,0.0014,0.0676,0.1131,0.0,0.0055,0.0014,0.0,0.0069,0.0055,0.0469,0.0,0.0,0.0014,0.0,0.0814,0.0014,0.0,0.0,0.0,0.0634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.5544,0.3353,0.6438,11.8848,4.8644,0.6785,0.9367,0.9981,2.592,0.0749,0.0514,0.2705,1.8521,0.0246,0.8607,1.7057,0.0592,0.1274,0.0849,0.1844,0.0827,0.6293,0.5443,0.171,0.0022,0.0168,0.0123,0.5712,0.019,0.0883,0.0861,0.0179,0.0358,0.0078,0.0235,0.0212,0.019,0.0201,0.5074,0.0112,0.0022,0.0011,0.0067,0.0112,0.0022,0.0011,0.0212,0.0056,0.0235,0.0022,0.0011,0.0257,0.0179,0.0,0.0,0.0,0.0,0.0134,0.0,0.1017,0.0145,0.0,0.0045,0.0078,0.0,0.0,0.0,0.0078,0.0,0.0034,0.0011,0.0011,0.0,0.0,0.0,0.0,0.0022,0.0011,0.0022,0.0,0.0,0.0,0.0034,0.0022,0.0,0.0011,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0011,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8.2201,9.5021,3.9078,2.9044,1.7591,2.5372,2.1957,0.3063,1.5307,0.7781,0.459,0.0619,1.5125,0.3629,0.3394,0.3981,0.5988,0.2402,0.808,0.5689,0.4483,0.3522,0.7536,0.4184,1.916,0.0032,0.1462,0.5273,0.333,0.4045,0.3597,0.0512,0.0854,0.0085,0.1121,0.143,0.0769,0.0662,0.0149,0.0406,0.1516,0.0011,0.0523,0.0181,0.0,0.0,0.0395,0.0384,0.0075,0.0438,0.0032,0.0128,0.0726,0.0,0.0075,0.0053,0.0608,0.0053,0.0021,0.0064,0.0,0.0011,0.0075,0.0107,0.0043,0.0,0.0064,0.0096,0.0,0.0224,0.0,0.0021,0.0,0.0,0.0011,0.0,0.0011,0.0011,0.0,0.0,0.0,0.0085,0.0,0.0011,0.0,0.0011,0.0011,0.0,0.0,0.0,0.0011,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,0.0,1
1.1152,12.6681,6.5954,2.9914,0.5414,0.7385,2.0334,0.1385,6.4906,0.6499,0.2345,0.0499,1.9211,1.9436,0.8046,0.6624,0.2707,0.2408,0.2969,0.5264,0.0798,0.4154,0.9219,0.257,0.1971,0.0037,0.9506,0.4903,0.015,0.373,0.3243,0.0474,0.0374,0.0449,0.0262,0.0811,0.121,0.0699,0.1048,0.101,0.0811,0.0811,0.01,0.0075,0.0212,0.0012,0.0,0.0299,0.0125,0.0524,0.0,0.005,0.0412,0.0,0.0012,0.0037,0.0462,0.0087,0.0012,0.0012,0.0012,0.0012,0.0025,0.0025,0.0,0.0,0.01,0.0025,0.0,0.005,0.0,0.0,0.0,0.0012,0.0012,0.0,0.0012,0.0,0.0012,0.0025,0.0,0.0,0.0012,0.0012,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2.2092,10.2191,3.4662,3.5116,0.9033,0.7346,1.5073,0.1106,2.6554,0.3174,0.263,0.0272,1.5526,0.4262,0.3573,1.0248,0.5061,0.2195,0.2013,0.5677,0.1778,0.4516,1.1082,0.1832,0.2757,0.0127,0.1905,0.5151,0.0236,0.2304,0.2576,0.0091,0.058,0.0707,0.0345,0.0617,0.2612,0.0599,0.078,0.0345,0.0417,0.0,0.02,0.0363,0.0036,0.0,0.02,0.0218,0.0181,0.0308,0.0,0.0036,0.0236,0.0,0.0,0.0073,0.0816,0.0018,0.0018,0.0,0.0,0.0073,0.0,0.0018,0.0018,0.0036,0.0109,0.0145,0.0,0.0127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054,0.0,0.0,0.0073,0.0,0.0018,0.0036,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
12.1089,9.1005,1.2781,2.291,0.876,2.92,1.5735,2.3043,1.3716,2.1391,0.3537,0.0851,0.5039,0.0267,0.5723,0.5957,1.173,0.9478,1.0262,0.9144,1.4467,0.8259,0.896,0.8593,1.2331,0.0033,0.6307,0.3404,0.1001,0.3254,0.3754,0.0184,0.4222,0.312,0.1051,0.3421,0.3804,0.1368,0.01,0.0918,0.5289,0.0217,0.0667,0.01,0.0,0.005,0.1018,0.0934,0.0284,0.04,0.005,0.005,0.0167,0.0,0.0017,0.0,0.0317,0.0033,0.0017,0.01,0.0,0.0,0.0033,0.0083,0.015,0.0067,0.0083,0.0184,0.0,0.0033,0.0,0.0083,0.0,0.0,0.0033,0.0,0.0067,0.0,0.0,0.0017,0.0,0.0017,0.0,0.0,0.0,0.0,0.005,0.0,0.0067,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0033,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0017,0.0,1
13.0693,8.6337,0.5483,1.6222,1.8921,3.1228,1.6151,0.7447,0.674,1.1135,0.1625,0.0085,0.5892,0.0057,2.6608,1.6773,0.9157,0.9665,1.3028,1.5628,1.2619,0.4098,0.9453,0.4592,0.7955,0.0014,1.3113,0.3688,0.0876,0.236,0.4225,0.0071,0.5822,0.2939,0.0382,0.3349,0.2374,0.147,0.78,0.0947,0.6472,0.0,0.1187,0.0014,0.0071,0.0,0.0438,0.1003,0.0268,0.0071,0.0,0.0141,0.024,0.0,0.0,0.0268,0.0268,0.0198,0.0042,0.0042,0.0,0.0184,0.0014,0.0014,0.0042,0.0099,0.0057,0.0028,0.0042,0.0254,0.0,0.0042,0.0014,0.0057,0.0141,0.0,0.0014,0.0,0.0014,0.0014,0.0,0.0,0.0014,0.0,0.0028,0.0014,0.0,0.0,0.0042,0.0,0.0014,0.0,0.0014,0.0,0.0113,0.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
15.581,5.7857,0.3842,1.3972,1.0902,6.9807,2.2503,0.2574,0.4192,1.6785,0.9009,0.0129,0.4854,0.0496,0.6177,0.546,2.3551,1.5958,1.5425,1.4671,1.1454,1.2483,1.0479,1.0443,5.9879,0.0018,0.2831,0.2776,0.375,0.7078,0.6637,0.0754,0.5074,0.5019,0.0735,0.4081,0.3144,0.2831,0.1434,0.1121,0.3659,0.0993,0.136,0.0074,0.0018,0.1636,0.1213,0.1158,0.0129,0.046,0.0,0.0074,0.0423,0.0,0.0018,0.0184,0.0165,0.0184,0.0129,0.0018,0.0,0.0055,0.0202,0.0147,0.011,0.0018,0.0074,0.0055,0.0,0.011,0.0,0.0129,0.0,0.0,0.0037,0.0,0.0037,0.0018,0.0,0.0,0.0018,0.0,0.0018,0.0018,0.0018,0.0,0.0037,0.0,0.0,0.0,0.0,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,1
